Designator,Mid X,Mid Y,Layer,Rotation
R1,77.00,-3.00,Top,180.0
R2,77.00,-5.00,Top,180.0
R3,77.00,-8.00,Top,180.0
R4,77.00,-10.00,Top,180.0
R5,77.00,-13.00,Top,180.0
R6,77.00,-15.00,Top,180.0
R7,79.00,-25.00,Top,180.0
R35,64.00,12.00,Top,90.0
R36,58.00,-25.00,Top,0.0
U8,59.95,-14.99,Top,90.0
X4,92.58,17.36,Top,101.0
X5,94.33, 0.00,Top,90.0
X6,92.50,-17.92,Top,79.0
