Comment,Designator,Footprint,LCSC Part #
10k,R1,RESC1608X60,C23186
10k,R2,RESC1608X60,C23186
10k,R3,RESC1608X60,C23186
10k,R4,RESC1608X60,C23186
10k,R5,RESC1608X60,C23186
10k,R6,RESC1608X60,C23186
10k,R36,RESC1608X60, C25804
250,R7,RESC1608X60,C100778
250,R35,RESC1608X60,C8218
NP52N06SLG-E1-AYPRSS0004ZV-A_REN-L,U8,PRSS0004ZV-A_REN-L,
usb-c,X4,USB_C_CUSB31-CFM2AX-01-X,C2987386
usb-c,X5,USB_C_CUSB31-CFM2AX-01-X,C2987386
usb-c,X6,USB_C_CUSB31-CFM2AX-01-X,C2987386
